类别,中文名,entry,actors,点数
昆虫,精力独角仙,Animal_Insect_AA,Animal_Insect_AA,20
昆虫,酥麻蜻蜓,Animal_Insect_I,Animal_Insect_I,19
昆虫,铠甲独角仙,Animal_Insect_P,Animal_Insect_P,18
昆虫,耐火凤蝶,Animal_Insect_AB,Animal_Insect_AB,16
昆虫,昆虫群（随机）,Animal_Insect_O,Animal_Insect_O,16
昆虫,毅力青蛙,Animal_Insect_B,Animal_Insect_B,8
昆虫,贴贴蜥蜴,Animal_Insect_AH,Animal_Insect_AH,6
昆虫,生命蜥蜴,Animal_Insect_M,Animal_Insect_M,1
鱼,海拉鲁鲈鱼,Item_FishGet_A,Animal_Fish_A+Item_FishGet_A,395
鱼,大剑鲷鱼,Item_FishGet_F,Animal_Fish_F+Item_FishGet_F,135
鱼,铠甲鲷鱼,Item_FishGet_G,Animal_Fish_G+Item_FishGet_G,135
鱼,远昔骨舌鱼,Item_FishGet_AA,Animal_Fish_AA,118
鱼,精力鲈鱼,Item_FishGet_L,Animal_Fish_L,79
鱼,大剑鲤鱼,Item_FishGet_E,Animal_Fish_E+Item_FishGet_E,50
鱼,铠甲鲤鱼,Item_FishGet_H,Animal_Fish_H+Item_FishGet_H,38
鱼,潜行田螺,Item_FishGet_M,Animal_Fish_M,33
鱼,冰冷鳟鱼,Item_FishGet_C,Animal_Fish_C,21
鱼,生命鲈鱼,Item_FishGet_B,Animal_Fish_B,13
鱼,暖暖鳟鱼,Item_FishGet_J,Animal_Fish_J,12
鱼,生命鲑鱼,Item_FishGet_I,Animal_Fish_I+Item_FishGet_I,11
鱼,光亮霍拉鱼,Item_FishGet_AC,Animal_Fish_AC,9
鱼,三色鲤鱼,Item_FishGet_Z,Animal_Fish_Z,6
鱼,酥麻鳟鱼,Item_FishGet_D,Animal_Fish_D,5
鱼,潜行鳟鱼,Item_FishGet_X,Animal_Fish_X,5
矿岩,左纳尼乌姆矿床,Obj_Mineral_D_01,Obj_Mineral_D_01,5437
矿岩,散落的左纳尼乌姆,Obj_MineralGrain_A_03,Obj_MineralGrain_A_03,4644
矿岩,矿床,Obj_Mineral_A_01,Obj_Mineral_A_01,229
矿岩,埋藏的矿床,Obj_MineralBury_A_01,Obj_MineralBury_A_01,164
矿岩,散落的蛋白石,Obj_MineralGrain_A_04,Obj_MineralGrain_A_04,131
矿岩,左纳尼乌姆,Item_Ore_L,Item_Ore_L,107
矿岩,散落的黄玉,Obj_MineralGrain_A_05,Obj_MineralGrain_A_05,107
矿岩,稀有矿床,Obj_Mineral_B_01,Obj_Mineral_B_01,93
矿岩,夜光矿床,Obj_Mineral_C_01,Obj_Mineral_C_01,88
矿岩,打火石,Item_Ore_I,Item_Ore_I,70
矿岩,散落的岩盐,Obj_MineralGrain_A_01,Obj_MineralGrain_A_01,56
矿岩,散落的打火石,Obj_MineralGrain_A_02,Obj_MineralGrain_A_02,34
矿岩,岩盐,Item_Ore_H,Item_Ore_H,8
矿岩,钻石,Item_Ore_A,Item_Ore_A,4
矿岩,红宝石,Item_Ore_B,Item_Ore_B,4
矿岩,蓝宝石,Item_Ore_C,Item_Ore_C,4
矿岩,黄玉,Item_Ore_D,Item_Ore_D,1
矿岩,蛋白石,Item_Ore_E,Item_Ore_E,1
矿岩,大的左纳尼乌姆,Item_Ore_M,Item_Ore_M,1
矿岩,稀有矿床,Obj_Mineral_B_02,Obj_Mineral_B_02,1
