中文名,objmap_id,objmap_英文,objmap_中文,objmap_X,objmap_Z,objmap_Y,ShowLevel,我们x(lat),我们y(lng),偏差,层,visible
刑场遗迹,SouthGerudoLegacy,Arbiter's Grounds,刑场遗迹,-4157.43896484375,3803.057861328125,133.4449920654297,Nearest,3820.07,-4152.77,17.6,18,"5,6,7"
利利特特湖,,,,,,,,-1745.08,-3753.87,,18,"5,6,7"
劳鲁村落遗迹,ShinyarkiVillage,Rauru Settlement Ruins,劳鲁村落遗迹,675.81982421875,-1282.6923828125,145.62010192871094,Nearest,-1251.5,704.0,42.0,18,"5,6,7"
北塔邦挞雪原,,,,,,,,-3689.48,-1792.18,,18,"5,6,7"
千之中州,,,,,,,,44.87,1418.6,,18,"5,6,7"
南塔邦挞雪原,,,,,,,,-2933.21,-1763.61,,18,"5,6,7"
双子弟弟桥,LittleBrotherBridge,Little Twin Bridge,双子弟弟桥,1713.9957275390625,2147.9443359375,115.29158782958984,Nearest,2149.55,1714.18,1.6,18,"5,6,7"
国王的书房,,,,,,,,-1119.77,-173.51,,18,"5,6,7"
图书馆,,,,,,,,-1067.45,-157.92,,18,"5,6,7"
塞尔达的房间,,,,,,,,-995.21,-327.72,,18,"5,6,7"
塞尔达的研究室,,,,,,,,-991.9,-384.15,,18,5
奥赛平原,,,,,,,,3141.24,-882.03,,18,"5,6,7"
密兹达湖,,,,,,,,-1480.54,2750.7,,18,"5,6,7"
希麦加米河,,,,,,,,1222.14,-1767.89,,18,"5,6,7"
幽芬湖,,,,,,,,-1719.21,2598.22,,18,"5,6,7"
库库甲谷,,,,,,,,-1180.62,-2918.18,,18,"5,6,7"
拉尔斯池塘,,,,,,,,-263.86,2926.6,,18,"5,6,7"
拉布拉山丘,,,,,,,,-1279.41,-2544.85,,18,"5,6,7"
拉纳湖,,,,,,,,2085.78,2473.86,,18,"5,6,7"
拉聂尔湾,,,,,,,,752.77,3449.2,,18,"5,6,7"
撒哈斯拉平原,,,,,,,,772.66,1265.77,,18,"5,6,7"
明弗拉的秘泉,FlamingoSpa,Goflam's Secret Hot Spring,明弗拉的秘泉,-3442.36962890625,-3545.502197265625,0.0,Nearest,-3557.5,-3461.5,22.6,18,"5,6,7"
泰阿蒙河,,,,,,,,200.19,-2465.39,,18,"5,6,7"
海利亚河,,,,,,,,-127.95,783.36,,18,"5,6,7"
海利亚湖,,,,,,,,2430.43,-255.54,,18,"5,6,7"
海布拉山西岳,,,,,,,,-2722.94,-4422.8,,18,"5,6,7"
海布拉湖,,,,,,,,-2008.34,-2866.76,,18,"5,6,7"
海拉鲁城堡护城河,,,,,,,,-650.65,-326.04,,18,"5,6,7"
海拉鲁驿站村遗迹,PostTownRuin,Outpost Ruins,海拉鲁驿站村遗迹,-248.4403839111328,1688.3232421875,0.0,Near,1671.11,-233.33,22.9,18,"5,6,7"
湿地的驻军地遗迹,WetGarrison,Moor Garrison Ruins,湿地的驻军地遗迹,1527.0,-218.0,68.0,Near,-187.2,1527.14,30.8,18,"5,6,7"
牢房,HyruleCastle_Room_5,Lockup,牢房,-443.8999938964844,-1062.267333984375,130.09046936035156,Nearest,-1084.52,-434.45,24.2,18,"5,6,7"
特洽湖,,,,,,,,764.19,1714.24,,18,5
玛丽塔山丘,,,,,,,,-1343.87,-1443.95,,18,"5,6,7"
第八位英雄的雕像,SnowStatue,Statue of the Eighth Heroine,第八位英雄的雕像,-4362.74462890625,502.0,570.4813232421875,Nearest,516.98,-4371.52,17.4,18,"5,6,7"
米法公园,Zora_Belvedere,Mipha Court,米法公园,3837.922119140625,-566.457763671875,596.136962890625,Nearest,-520.24,3801.5,58.8,18,"5,6,7"
腐朽的千年古树,BigTree,Ancient Tree Stump,腐朽的千年古树,-1111.990234375,415.22052001953125,168.87400817871094,Nearest,430.91,-1111.99,15.7,18,"5,6,7"
船坞,HyruleCastle_Room_7,Docks,船坞,-252.18289184570312,-1188.0269775390625,126.41304016113281,Nearest,-1160.12,-232.12,34.4,18,"5,6,7"
茨茨齐齐雪原,,,,,,,,-2901.49,-2198.22,,18,"5,6,7"
茹特拉河,,,,,,,,352.75,3206.19,,18,"5,6,7"
葛亚娜峡谷,,,,,,,,3412.07,3273.62,,18,"5,6,7"
西南阿卡莱桥,MinakkareBridgeWest,West Sokkala Bridge,西南阿卡莱桥,3588.0,-1024.0,0.0,Nearest,-1020.13,3591.52,5.2,18,"5,6,7"
西坑道,HyruleCastle_Room_11,West Passage,西坑道,-448.993408203125,-858.280029296875,118.2890625,Nearest,-772.7,-384.67,107.1,18,"5,6,7"
观察室,HyruleCastle_Room_0,Observation Room,观察室,-253.9762725830078,-778.5077514648438,203.47402954101562,Nearest,-761.33,-254.13,17.2,18,"5,6,7"
训练所,HyruleCastle_Room_2,Guards' Chamber,训练所,-368.70001220703125,-846.5673217773438,177.21791076660156,Nearest,-840.29,-357.93,12.5,18,"5,6,7"
诺凯河,,,,,,,,1533.94,496.78,,18,"5,6,7"
谢拉湖,,,,,,,,1451.48,2129.81,,18,"5,6,7"
贝弗岛,,,,,,,,-1769.63,2701.2,,18,5
贤者之神殿遗迹,KaturaCastle,Sage Temple Ruins,贤者之神殿遗迹,-1352.423583984375,216.81707763671875,0.0,Nearest,233.0,-1355.0,16.4,18,"5,6,7"
运球报名处,GameBitalockGolf,Ultra Ball Haul Check-In,运球报名处,-3128.231689453125,-611.1467895507812,26.323694229125977,Nearest,-627.77,-3119.2,18.9,18,"5,6,7"
阿卡莱堡垒遗迹,AkkareZhai,Akkala Citadel Ruins,阿卡莱堡垒遗迹,3323.8662109375,-1534.9124755859375,613.4503784179688,Near,-1502.5,3303.0,38.5,18,"5,6,7"
阿德亚湖,,,,,,,,1882.56,365.78,,18,"5,6,7"
雷之台地,LightningPlateau,Thundra Plateau,雷之台地,-2265.8642578125,-921.817626953125,0.0,Nearest,-903.63,-2272.37,19.3,18,"5,6,7"
风标草原,,,,,,,,605.45,-264.65,,18,"5,6,7"
食堂,HyruleCastle_Room_1,Dining Hall,食堂,-111.85792541503906,-852.138916015625,210.3932647705078,Nearest,-880.51,-87.29,37.5,18,"5,6,7"
麦贝镇遗迹,RonronCity,Mabe Village Ruins,麦贝镇遗迹,-37.20263671875,185.716064453125,0.0,Nearest,175.0,-62.54,27.5,18,"5,6,7"
鼓隆桥,GoronBridge,Stolock Bridge,鼓隆桥,1627.1951904296875,-2478.00390625,559.3782958984375,Near,-2477.34,1625.4,1.9,18,"5,6,7"
齐洛利森林,,,,,,,,-1770.91,1015.74,,18,"5,6,7"
一始拉力赛,,,,,,,,-1679.45,3744.3,,18,"6,7"
三叉山道,,,,,,,,-764.12,2687.7,,18,"6,7"
丘萨茨湖,,,,,,,,-1193.03,2186.52,,18,"6,7"
东南阿卡莱桥,MinakkareBridgeEast,East Sokkala Bridge,东南阿卡莱桥,3860.814208984375,-1095.105224609375,311.24188232421875,,-1095.11,3860.81,0.0,18,"6,7"
东哈特尔,,,,,,,,2507.28,2679.29,,18,"6,7"
东埃文坡高地,,,,,,,,-3673.37,1126.05,,18,"6,7"
东格鲁德,,,,,,,,3539.3,-2537.65,,18,"6,7"
东格鲁德天空诸岛,SkyIslands_Gerudo01,East Gerudo Sky Archipelago,东格鲁德天空诸岛,-1866.2982177734375,2316.1748046875,2000.0,,2107.48,-1942.4,222.1,18,"6,7"
东格鲁德高地,,,,,,,,2987.6,-1576.91,,18,"6,7"
东海布拉天空诸岛,SkyIslands_Hebra02,East Hebra Sky Archipelago,东海布拉天空诸岛,-1729.4683837890625,-3171.4013671875,2000.0,,-3397.57,-1783.45,232.5,18,"6,7"
东海拉鲁城邑遗迹,,,,,,,,-457.56,-14.1,,18,"6,7"
东部的储水湖,EastDam,East Reservoir Lake,东部的储水湖,3667.748046875,-179.846435546875,324.3230285644531,,-195.11,3671.39,15.7,18,"6,7"
东部的驿站村遗迹,EastPostTownRuin,East Post Ruins,东部的驿站村遗迹,17.56396484375,1560.67138671875,58.02989959716797,,1560.67,17.56,0.0,18,"6,7"
东部神殿遗迹,,,,,,,,1959.68,-530.63,,18,"6,7"
东部高台,Kakariko_EastHill,East Hill,东部高台,1867.9306640625,804.02880859375,166.68553161621094,,834.63,1988.25,124.1,18,"6,7"
东阿卡莱平原,,,,,,,,-2148.71,4096.21,,18,"6,7"
东阿卡莱海岸,,,,,,,,-2400.41,4353.73,,18,"6,7"
丝莱米的小屋,GameShiledSurf,Selmie's Spot,丝莱米的小屋,-2952.026611328125,-3142.86376953125,656.1971435546875,,-3142.86,-2952.03,0.0,18,"6,7"
中央海拉鲁天空诸岛,SkyIslands_Hyrule01,Central Hyrule Sky Archipelago,中央海拉鲁天空诸岛,131.83099365234375,92.04000854492188,2054.728515625,,-69.88,246.05,198.2,18,"6,7"
中鼓湖,,,,,,,,-1773.66,2212.71,,18,"6,7"
乌克克平原,,,,,,,,-977.12,3950.51,,18,"6,7"
乌奥谷,,,,,,,,3259.86,2469.42,,18,"6,7"
乌尔利山,,,,,,,,-2093.09,3612.61,,18,"6,7"
乌尔希池塘,,,,,,,,1905.71,3721.61,,18,"6,7"
乌拉伊特湖,,,,,,,,2942.55,1789.1,,18,"6,7"
乌波茨台地,,,,,,,,3629.55,1608.7,,18,"6,7"
乌洛克海角,,,,,,,,3261.27,3544.81,,18,"6,7"
二殿,,,,,,,,-859.46,-166.64,,18,"6,7"
亚哲台地,,,,,,,,2465.71,1506.61,,18,"6,7"
亚娜谷,,,,,,,,2816.82,-1867.92,,18,"6,7"
亚玛比湖,,,,,,,,3583.52,2475.18,,18,"6,7"
亚阔桥,KunaiBridge,Aquame Bridge,亚阔桥,-1128.805908203125,1017.0532836914062,112.4490966796875,,1017.05,-1128.81,0.0,18,"6,7"
伊巴拉高地,,,,,,,,3789.28,765.23,,18,"6,7"
伊格尔斯桥,EzzuBridge,Eagus Bridge,伊格尔斯桥,969.6923828125,942.8338623046875,99.1319351196289,,942.95,970.09,0.4,18,"6,7"
伊萨奇海角,,,,,,,,3656.96,3800.01,,18,"6,7"
伊露美娜台地,,,,,,,,14.73,-3105.98,,18,"6,7"
伊露美娜池塘,,,,,,,,149.46,-3536.96,,18,"6,7"
依盖队基地,Assassin,Yiga Clan Hideout,依盖队基地,-3611.611083984375,1353.273193359375,436.2685546875,,1343.79,-3571.08,41.6,18,"6,7"
储水池遗迹,HyruleWater,Water Reservoir,储水池遗迹,-596.6741333007812,-525.3184814453125,95.97738647460938,,-525.32,-596.67,0.0,18,"6,7"
光明室,,,,,,,,3685.81,-4595.63,,18,"6,7"
光炎室,,,,,,,,3656.11,-4474.01,,18,"6,7"
克拉尔湖,,,,,,,,3215.87,2019.89,,18,"6,7"
克拉里海滩,,,,,,,,3897.38,2585.38,,18,"6,7"
克洛伊达高地,,,,,,,,2577.82,2134.74,,18,"6,7"
克罗切利平原,,,,,,,,1913.81,2133.17,,18,"6,7"
克莱西亚半岛,,,,,,,,3807.48,3420.64,,18,"6,7"
八爪怪森林,,,,,,,,-3089.09,3352.47,,18,"6,7"
八爪怪池塘,Akkare_OctaPond,Octorok Lake,八爪怪池塘,4069.00634765625,-2460.238525390625,137.329345703125,,-2460.24,4069.01,0.0,18,"6,7"
八英雄像的房间,,,,,,,,2534.08,-3763.39,,18,"6,7"
冰冻山麓,,,,,,,,-3792.54,-4311.6,,18,"6,7"
凯亚池塘,,,,,,,,1964.77,3493.34,,18,"6,7"
凯坡拉岭,,,,,,,,-1206.42,4114.77,,18,"6,7"
初始台地,HopesPlateau,Great Plateau,初始台地,-938.1170654296875,1905.66015625,235.46449279785156,,1782.78,-1248.46,333.8,18,"6,7"
利科纳半岛,,,,,,,,679.88,1605.52,,18,"6,7"
利诺斯岭,,,,,,,,-2236.13,-3793.15,,18,"6,7"
利贝拉树海,,,,,,,,3326.1,1885.24,,18,"6,7"
力量之泉,PowerFountain,Spring of Power,力量之泉,3756.12646484375,-2672.13671875,101.19505310058594,,-2672.14,3756.13,0.0,18,"6,7"
加卜台地,,,,,,,,58.05,3910.34,,18,"6,7"
劳鲁丘陵,,,,,,,,-1537.65,497.75,,18,"6,7"
勇气之泉,BraveFountain,Spring of Courage,勇气之泉,879.5,2371.819580078125,103.0,,2371.82,879.5,0.0,18,"6,7"
勇萨米平原,,,,,,,,2942.13,2270.27,,18,"6,7"
包美尔高地,,,,,,,,1760.07,429.72,,18,"6,7"
北哈特尔天空诸岛,SkyIslands_Hyrule02,North Necluda Sky Archipelago,北哈特尔天空诸岛,1795.116943359375,864.0540161132812,2000.0,,1165.1,1753.05,304.0,18,"6,7"
北格鲁德天空诸岛,SkyIslands_Gerudo02,North Gerudo Sky Archipelago,北格鲁德天空诸岛,-3573.1611328125,607.92919921875,2000.0,,526.51,-3580.12,81.7,18,"6,7"
北格鲁德巨石,,,,,,,,2247.35,-3321.69,,18,"6,7"
北格鲁德遗迹,NorthGerudoRuins,North Gerudo Ruins,北格鲁德遗迹,-3763.0,2530.0,150.0,,2530.83,-3762.73,0.9,18,"6,7"
北洛美城堡遗迹,SaihokuCastle,North Lomei Labyrinth,北洛美城堡遗迹,-824.25927734375,-3407.207763671875,342.144775390625,,-3532.0,-825.4,124.8,18,"6,7"
北海拉鲁天空诸岛,SkyIslands_Hyrule04,North Hyrule Sky Archipelago,北海拉鲁天空诸岛,349.93206787109375,-2354.297607421875,2000.0,,-2496.9,316.48,146.5,18,"6,7"
北海拉鲁平原,,,,,,,,-824.82,-1313.67,,18,"6,7"
北部冰屋,IceHouse,Northern Icehouse,北部冰屋,-3748.944091796875,2290.90673828125,131.81854248046875,,2289.5,-3749.41,1.5,18,"6,7"
北阿卡莱天空诸岛,SkyIslands_Tamul02,North Akkala Sky Archipelago,北阿卡莱天空诸岛,3703.7099609375,-2998.64697265625,1850.0,,-3316.41,3782.92,327.5,18,"6,7"
北阿卡莱平原,,,,,,,,-2823.35,3803.34,,18,"6,7"
北阿卡莱海岸,,,,,,,,-2923.51,4717.3,,18,"6,7"
北阿卡莱高地,,,,,,,,-2915.46,4177.5,,18,"6,7"
升天室,,,,,,,,3602.37,-4509.36,,18,"6,7"
卓拉台地,,,,,,,,-876.86,3137.31,,18,"6,7"
卓拉大桥,,,,,,,,-314.3,3233.18,,18,"6,7"
卓拉河,,,,,,,,-364.39,2657.78,,18,"6,7"
南哈特尔天空诸岛,SkyIslands_Hateru02,South Necluda Sky Archipelago,南哈特尔天空诸岛,2559.24609375,3751.43798828125,1000.0,,3601.44,2559.25,150.0,18,"6,7"
南奥尔汀天空诸岛,SkyIslands_Eldin02,South Eldin Sky Archipelago,南奥尔汀天空诸岛,1924.8409423828125,-798.7322998046875,2000.0,,-1153.35,1892.63,356.1,18,"6,7"
南拉聂尔天空诸岛,SkyIslands_Lanayru02,South Lanayru Sky Archipelago,南拉聂尔天空诸岛,4368.39599609375,1254.572021484375,2000.0,,982.41,4320.97,276.3,18,"6,7"
南洛美城堡遗迹,NantanCastle,South Lomei Labyrinth,南洛美城堡遗迹,-1794.9998779296875,3541.0,191.11764526367188,,3457.6,-1794.2,83.4,18,"6,7"
南海拉鲁天空诸岛,SkyIslands_Hyrule03,South Hyrule Sky Archipelago,南海拉鲁天空诸岛,-901.2310180664062,1380.0,2000.0,,1445.26,-992.38,112.1,18,"6,7"
南纳比湖,,,,,,,,1604.0,870.4,,18,"6,7"
南部绿洲,,,,,,,,3581.08,-3721.73,,18,"6,7"
南部绿洲训练场,SouthGerudoRuinsCamp,Southern Oasis Training Area,南部绿洲训练场,-3647.428466796875,3668.181884765625,121.32950592041016,,3635.17,-3650.38,33.1,18,"6,7"
南部采矿场,Cave_Eldin_0026,,,,,,,-1973.85,1657.89,,18,"6,7"
南阿卡莱天空诸岛,SkyIslands_Tamul01,Sokkala Sky Archipelago,南阿卡莱天空诸岛,3738.987060546875,-1688.5860595703125,2000.0,,-1675.35,3755.64,21.3,18,"6,7"
南阿卡莱平原,,,,,,,,-1352.08,3272.71,,18,"6,7"
南阿卡莱桥,MinakkareBridge,Sokkala Bridge,南阿卡莱桥,3686.265380859375,-1004.0167236328125,311.42156982421875,,-1004.02,3686.27,0.0,18,"6,7"
南阿卡莱湖,,,,,,,,-1126.58,3586.34,,18,"6,7"
南阿卡莱瀑布,,,,,,,,-1171.45,3732.23,,18,"6,7"
卡伊更池塘,,,,,,,,1698.88,3208.8,,18,"6,7"
卡伊更高地,,,,,,,,1385.77,3200.98,,18,"6,7"
卡兹溜河,,,,,,,,2762.54,1023.65,,18,"6,7"
卡兹溜湖,,,,,,,,2583.12,928.17,,18,"6,7"
卡卡利科桥,KochuBridge,Kakariko Bridge,卡卡利科桥,1784.9971923828125,1532.9130859375,98.44063568115234,,1532.91,1785.0,0.0,18,"6,7"
卡坡莱山,,,,,,,,2629.13,-925.64,,18,"6,7"
卡尔加岭,,,,,,,,-2363.1,-3574.7,,18,"6,7"
卡尔山,,,,,,,,3474.81,2566.63,,18,"6,7"
卡尔萨谷,,,,,,,,1854.5,-4308.19,,18,"6,7"
卡扎那裂谷,,,,,,,,-3254.74,3454.68,,18,"6,7"
卡斯拉山,,,,,,,,-2422.53,-3243.4,,18,"6,7"
卡格萨群山,,,,,,,,3222.28,-556.51,,18,"6,7"
卡洛克桥,TotsugeBridge,Carok Bridge,卡洛克桥,-1087.7874755859375,-474.6084899902344,130.0,,-474.61,-1087.79,0.0,18,"6,7"
卡玛斯台地,,,,,,,,2989.0,1436.45,,18,"6,7"
卡琳高原,,,,,,,,1779.89,2600.78,,18,"6,7"
卡纳莱特高原,,,,,,,,-1906.98,3308.85,,18,"6,7"
卡艾德半岛,,,,,,,,2372.2,4663.08,,18,"6,7"
卡萨伊美平原,,,,,,,,3682.92,-332.9,,18,"6,7"
卢玛琳沙丘,,,,,,,,2731.0,-4762.8,,18,"6,7"
卢驰尔湖,,,,,,,,633.13,-2531.65,,18,"6,7"
双子哥哥桥,BigBrotherBridge,Big Twin Bridge,双子哥哥桥,1673.1136474609375,2032.8193359375,83.9720458984375,,2032.82,1673.11,0.0,18,"6,7"
双子山,,,,,,,,1781.72,1358.1,,18,"6,7"
古代石柱群,StonePillers,Ancient Columns,古代石柱群,-3574.307861328125,-436.8629150390625,469.24102783203125,,-418.69,-3673.9,101.2,18,"6,7"
古利奥桥,NishojiBridge,Gleeok Bridge,古利奥桥,-1310.033447265625,786.8482055664062,96.74230194091797,,787.8,-1311.21,1.5,18,"6,7"
古奇尼扎平原,,,,,,,,3363.72,869.92,,18,"6,7"
古奇尼扎平原古墓群,GutinizaPlainTomb,Guchini Plain Barrows,古奇尼扎平原古墓群,1004.2438354492188,3456.955810546875,14.43975830078125,,3456.96,1004.24,0.0,18,"6,7"
古斯塔夫山,,,,,,,,-210.86,-915.31,,18,"6,7"
吉希山丘,,,,,,,,-679.18,-3478.07,,18,"6,7"
吉萨山丘,,,,,,,,-948.87,-3638.63,,18,"6,7"
吉萨的环形山,TabantaCrater,Gisa Crater,吉萨的环形山,-3930.938232421875,-1067.803466796875,198.29855346679688,,-1089.51,-3931.32,21.7,18,"6,7"
哈希毕罗湖,,,,,,,,-1233.79,-3383.48,,18,"6,7"
哈拉亚池塘,,,,,,,,3477.89,376.62,,18,"6,7"
哈格罗莫湖,,,,,,,,948.33,1710.64,,18,"6,7"
哈特尔天空诸岛,SkyIslands_Hateru01,Necluda Sky Archipelago,哈特尔天空诸岛,2540.85791015625,2270.68310546875,2000.0,,2607.33,2646.12,352.7,18,"6,7"
哈特尔海,,,,,,,,2845.04,4141.21,,18,"6,7"
哈特诺堡垒,HatenoGate,Fort Hateno,哈特诺堡垒,2323.95361328125,1837.392333984375,77.07476043701172,,1837.39,2323.95,0.0,18,"6,7"
哈特诺学校,,,,,,,,1974.68,3366.68,,18,"6,7"
哈特诺小岛,,,,,,,,2944.78,4008.37,,18,"6,7"
哈特诺海滩,,,,,,,,2314.7,4016.55,,18,"6,7"
哈特诺湾,,,,,,,,2422.68,4021.11,,18,"6,7"
哈特诺牧场,,,,,,,,2094.64,3619.22,,18,"6,7"
埃文坡高地,,,,,,,,-3693.15,335.73,,18,"6,7"
城邑监视塔遗迹,HyruleTower,Castle Town Watchtower,城邑监视塔遗迹,80.4970703125,-410.9553527832031,117.15135192871094,,-410.96,80.5,0.0,18,"6,7"
基尔克台地,,,,,,,,1556.14,-2616.18,,18,"6,7"
基纳比森林,,,,,,,,2083.38,3202.2,,18,"6,7"
塔姆海角,,,,,,,,897.24,4480.14,,18,"6,7"
塔尔塔尔台地,,,,,,,,-339.15,4147.11,,18,"6,7"
塔尔荷池塘,,,,,,,,2232.88,3266.48,,18,"6,7"
塔巴尔森林,,,,,,,,-176.82,2572.54,,18,"6,7"
塔林湿地,,,,,,,,-1636.77,3601.31,,18,"6,7"
塔玛湖,,,,,,,,-1897.98,-2963.51,,18,"6,7"
塔莫沼泽,,,,,,,,1842.49,1977.85,,18,"6,7"
塔菲亚高地,,,,,,,,1819.19,-2807.47,,18,"6,7"
塔邦挞大桥,TabantaBridge,Tabantha Great Bridge,塔邦挞大桥,-3110.768798828125,-583.623046875,264.1749267578125,,-585.09,-3006.83,103.9,18,"6,7"
塔邦挞大雪原,,,,,,,,-2792.61,-1811.89,,18,"6,7"
塔邦挞天空诸岛,SkyIslands_Tabanta01,Tabantha Sky Archipelago,塔邦挞天空诸岛,-2942.518798828125,-558.3880615234375,2000.0,,-664.48,-3676.14,741.3,18,"6,7"
塔邦挞山丘,,,,,,,,-1843.0,-2464.51,,18,"6,7"
塔邦挞村遗迹,TabantaVillage,Tabantha Village Ruins,塔邦挞村遗迹,-2324.0,-1895.0,277.0,,-1895.0,-2324.0,0.0,18,"6,7"
塔邦挞边境,,,,,,,,-1220.97,-3476.17,,18,"6,7"
塞哈特诺岛,Cohorint,Eventide Island,塞哈特诺岛,4586.15869140625,3629.857666015625,140.42605590820312,,3611.29,4607.68,28.4,18,"6,7"
塞拉瀑布,,,,,,,,-455.62,3082.76,,18,"6,7"
塞莱斯平原,,,,,,,,-449.83,-2323.9,,18,"6,7"
夏利巴山,,,,,,,,-2682.16,-3171.54,,18,"6,7"
夏特岭,,,,,,,,-2273.78,3382.51,,18,"6,7"
夏特村落遗迹,GarakishiVillage,Shadow Hamlet Ruins,夏特村落遗迹,3044.972412109375,-2281.27490234375,444.9367980957031,,-2299.47,3053.78,20.2,18,"6,7"
多尔米森林,,,,,,,,2163.63,3100.82,,18,"6,7"
大妖精之泉,WeaponCureSpring_DressFairy_00,Great Fairy Fountain,大妖精之泉,1767.623291015625,2179.93310546875,106.05299377441406,,-2994.87,-1460.47,6099.1,18,"6,7"
天望山丘,,,,,,,,1898.34,-20.78,,18,"6,7"
奇克伦岛,,,,,,,,-1374.0,4705.74,,18,"6,7"
奇塔诺湾,,,,,,,,2503.47,3684.65,,18,"6,7"
奇希莱平原,,,,,,,,2867.27,1492.77,,18,"6,7"
奇比纳湖,,,,,,,,3512.1,1017.21,,18,"6,7"
奈兹坡树林,,,,,,,,3567.09,-339.34,,18,"6,7"
奈弗拉高地,,,,,,,,1509.35,-2166.35,,18,"6,7"
奉光室,,,,,,,,3558.53,-4571.59,,18,"6,7"
奥克诺湾,,,,,,,,2355.34,4283.44,,18,"6,7"
奥尔汀台地,,,,,,,,-3678.55,2292.72,,18,"6,7"
奥尔汀大化石,OrdinFossil,Eldin Great Skeleton,奥尔汀大化石,1502.239990234375,-3762.966552734375,209.03924560546875,,-3762.97,1502.24,0.0,18,"6,7"
奥尔汀天空诸岛,SkyIslands_Eldin01,Eldin Sky Archipelago,奥尔汀天空诸岛,1777.0,-2705.5,2000.0,,-2550.0,1777.0,155.5,18,"6,7"
奥尔汀山脉,,,,,,,,-3375.62,1310.08,,18,"6,7"
奥尔汀峡谷,,,,,,,,-1400.64,1852.76,,18,"6,7"
奥尔汀桥,OrdinBridge,Bridge of Eldin,奥尔汀桥,2213.640380859375,-2356.299560546875,631.5,,-2356.3,2213.64,0.0,18,"6,7"
奥尔龙盆地,,,,,,,,-2525.24,3654.48,,18,"6,7"
奥布力平原,,,,,,,,1883.29,3060.01,,18,"6,7"
奥布巴巴草地,,,,,,,,2725.53,-1227.89,,18,"6,7"
娜波露山,,,,,,,,1920.12,-1885.74,,18,"6,7"
安吉尔台地,,,,,,,,2619.63,1715.5,,18,"6,7"
密斯密桥,TaserakaBridge,Thims Bridge,密斯密桥,1283.681640625,-690.14013671875,127.0,,-692.59,1285.59,3.1,18,"6,7"
尝试海角,,,,,,,,-397.0,3757.12,,18,"6,7"
尼凯尔平原,,,,,,,,445.0,-1608.43,,18,"6,7"
左纳乌调查队据点,,,,,,,,956.12,1828.8,,18,"6,7"
左纳乌遗迹群,ZonauLegacy,Zonai Ruins,左纳乌遗迹群,889.8621826171875,2937.3486328125,74.07652282714844,,2937.35,889.86,0.0,18,"6,7"
巨人森林,,,,,,,,114.0,-1184.64,,18,"6,7"
巴奇平原,,,,,,,,-1434.89,-901.65,,18,"6,7"
巴尔达斯的餐厅,EldinRestaurants,Bedrock Bistro,巴尔达斯的餐厅,1750.5,-1549.0,390.5,,-1539.0,1730.5,22.4,18,"6,7"
巴尔麦平原,,,,,,,,3134.55,193.45,,18,"6,7"
巴美山丘,,,,,,,,-1614.11,-3998.9,,18,"6,7"
布伊达湖,,,,,,,,3679.67,1854.7,,18,"6,7"
布兰努山丘,,,,,,,,382.12,3927.26,,18,"6,7"
布冰嘉森林,,,,,,,,2094.24,2085.39,,18,"6,7"
布莱德台地,,,,,,,,1570.96,2700.25,,18,"6,7"
希克里森林,,,,,,,,2441.78,1951.0,,18,"6,7"
帕发海岸,,,,,,,,3897.29,231.51,,18,"6,7"
帕鲁荒原,,,,,,,,2981.83,-3117.93,,18,"6,7"
席美达山,,,,,,,,2461.16,2548.45,,18,"6,7"
